Month-Year,Utility,Utility sub-region,Customer class,Supply type,customers,load,Date
3/1/19,Central Maine Power,N/A,Small,Standard offer customers,532178,11227.49635,3/1/19
3/1/19,Emera Maine,Maine Public District,Medium,CEP customers,72,108,3/1/19
3/1/19,Emera Maine,Maine Public District,Medium,Standard offer customers,109,93,3/1/19
3/1/19,Central Maine Power,N/A,Large,CEP customers,355,8062.985032,3/1/19
3/1/19,Central Maine Power,N/A,Large,Standard offer customers,57,214.4914194,3/1/19
2/1/19,Emera Maine,Maine Public District,Medium,CEP customers,70,122.1025357,2/1/19
2/1/19,Emera Maine,Maine Public District,Medium,Standard offer customers,111,115.0524643,2/1/19
2/1/19,Central Maine Power,N/A,Medium,CEP customers,4604,3255.675821,2/1/19
2/1/19,Central Maine Power,N/A,Medium,Standard offer customers,6201,2373.039821,2/1/19
2/1/19,Central Maine Power,N/A,Large,CEP customers,296,4510.5135,2/1/19
2/1/19,Central Maine Power,N/A,Large,Standard offer customers,43,212.8347143,2/1/19
2/1/19,Emera Maine,Maine Public District,Large,CEP customers,13,447.0588214,2/1/19
2/1/19,Emera Maine,Maine Public District,Large,Standard offer customers,3,8.05775,2/1/19
2/1/19,Emera Maine,Bangor Hydro District,Large,CEP customers,31,478.5393163,2/1/19
