,affiliated_committee_name,candidate_ids,committee_id,committee_type,committee_type_full,cycles,designation,designation_full,filing_frequency,first_file_date,last_f1_date,last_file_date,name,organization_type,organization_type_full,party,party_full,state,treasurer_name,active_through,candidate_id,candidate_inactive,candidate_status,district,district_number,election_districts,election_years,federal_funds_flag,has_raised_funds,inactive_election_years,incumbent_challenge,incumbent_challenge_full,last_f2_date,load_date,office,office_full,principal_committees
56847,,['P60004058'],C00308122,P,Presidential,"[1996, 1998, 2000, 2002]",P,Principal campaign committee,A,1995-11-13,1995-11-13,2002-06-18,DAVID HAROLD BIRCHLER COMMITTEE,,,REP,REPUBLICAN PARTY,IN,DAVID HAROLD BIRCHLER,,,,,,,,,,,,,,,,,,
56848,,['P60005006'],C00551994,P,Presidential,"[2014, 2016, 2018]",P,Principal campaign committee,A,2013-11-18,2013-11-18,2018-04-26,DAVID HENDRIX FOR PRESIDENT 2016,,,IND,INDEPENDENT,NC,DAVID HENDRIX,,,,,,,,,,,,,,,,,,
56852,,['P00001610'],C00221523,P,Presidential,"[1988, 1990, 1992, 1994, 1996, 1998]",P,Principal campaign committee,A,1988-01-25,1988-02-09,1997-07-15,DAVID LESTER HORNBERGER FOR PRESIDENT COMMITTEE,,,,,CA,DAVID LESTER HORNBERGER,,,,,,,,,,,,,,,,,,
56853,,['P40001919'],C00189282,P,Presidential,[1984],P,Principal campaign committee,T,1984-08-22,1984-09-17,1984-09-17,DAVID MACPHERSON'S PRESIDENTIAL CAMPAIGN,,,REP,REPUBLICAN PARTY,PA,KAREN PASBORG,,,,,,,,,,,,,,,,,,
56854,,['P60007499'],C00577858,P,Presidential,"[2016, 2018]",P,Principal campaign committee,A,2015-05-07,2015-05-07,2018-04-26,DAVID MILLS 2016,,,DEM,DEMOCRATIC PARTY,WV,DAVID ALLEN MILLS,,,,,,,,,,,,,,,,,,
56855,,['P60009164'],C00586206,P,Presidential,"[2016, 2018]",P,Principal campaign committee,A,2015-08-31,2015-10-15,2018-04-26,DAVID REED CORNERSTONE CAMPAIGN COMMITTEE,,,REP,REPUBLICAN PARTY,TX,DAVID REED CORNERSTONE,,,,,,,,,,,,,,,,,,
56856,,['P20003083'],C00498147,P,Presidential,"[2012, 2014, 2016]",P,Principal campaign committee,A,2011-07-01,2011-07-01,2015-09-11,DAVID ROBT FREY,,,IND,INDEPENDENT,CA,DAVID ROBT FREY,,,,,,,,,,,,,,,,,,
56858,,['P00004614'],C00358705,P,Presidential,[2000],P,Principal campaign committee,T,2000-06-08,2000-08-25,2000-09-15,DAVID'S COMMITTEE FOR PRESIDENT,,,IND,INDEPENDENT,CA,DAVID CHARLES VISMAN,,,,,,,,,,,,,,,,,,
56859,,['P00000935'],C00111013,P,Presidential,[1980],P,Principal campaign committee,T,1979-07-05,1979-07-20,1979-07-20,DAVID VINCENT WADE FOR U.S. PRESIDENT CMTE.,,,DEM,DEMOCRATIC PARTY,MA,HARRY JEWETT,,,,,,,,,,,,,,,,,,
56862,,['P80001381'],C00217380,P,Presidential,"[1988, 1990]",P,Principal campaign committee,T,1987-09-01,1988-04-18,1988-04-18,DAVID W SHEPHERD FOR PRESIDENTS COMMITTEE FUND,,,DEM,DEMOCRATIC PARTY,ID,MARGARET C CYRUS,,,,,,,,,,,,,,,,,,
56864,,['P40002495'],C00384875,P,Presidential,"[2004, 2006]",P,Principal campaign committee,A,2003-02-10,2003-02-10,2005-12-12,DAVIS FOR PRESIDENT,,,,,MI,ERIC JAMES DAVIS,,,,,,,,,,,,,,,,,,
56865,,"['P60017282', 'S2TN00082']",C00445445,P,Presidential,"[2008, 2010, 2012, 2014, 2016, 2018]",P,Principal campaign committee,A,2008-02-15,2015-10-20,2018-04-26,DAVIS FOR THE FUTURE,,,,,TN,GARY G DAVIS,,,,,,,,,,,,,,,,,,
